,name,company,year,mileage,kms_driven,fuel_type,Price
150,Audi A4 2.0 TDI,Audi,2015,17.11,48214,Diesel,2332000.0
151,Maruti Swift VDI,Maruti,2016,22.9,35000,Diesel,625000.0
152,Mercedes-Benz S Class 2005,Mercedes-Benz,2010,7.81,35277,Petrol,3000000.0
155,Hyundai EON Magna Plus,Hyundai,2019,21.1,14322,Petrol,423000.00000000006
157,Datsun GO NXT,Datsun,2016,20.63,6000,Petrol,250000.0
158,Honda Brio S MT,Honda,2013,19.4,33280,Petrol,239000.0
159,Mercedes-Benz B Class B180,Mercedes-Benz,2013,14.8,29000,Petrol,1125000.0
160,Honda City i DTEC,Honda,2015,26.0,42831,Diesel,711000.0
162,Maruti Swift VXI Optional,Maruti,2017,20.4,24005,Petrol,620000.0
163,Mahindra XUV500 W8 2WD,Mahindra,2012,15.1,32792,Diesel,790000.0
168,BMW X5 xDrive 30d,BMW,2015,15.3,41000,Diesel,4500000.0
169,Mercedes-Benz New C-Class C,Mercedes-Benz,2017,19.27,23550,Diesel,3365999.9999999995
170,Honda Brio V MT,Honda,2012,19.4,45000,Petrol,365000.0
172,Mercedes-Benz GLC 220,Mercedes-Benz,2016,17.9,44414,Diesel,4250000.0
173,Hyundai Grand i10 1.2,Hyundai,2019,18.9,1000,Petrol,650000.0
175,Volkswagen Vento Petrol Highline,Volkswagen,2013,14.4,21000,Petrol,445000.0
176,Mini Countryman Cooper D,Mini,2017,16.6,8525,Diesel,2300000.0
177,Hyundai i20 Asta 1.4,Hyundai,2014,22.54,29000,Diesel,835000.0
178,Audi A6 2011-2015 2.0,Audi,2014,17.68,40000,Diesel,2295000.0
185,Renault Lodgy 110PS RxZ,Renault,2015,19.98,25000,Diesel,675000.0
186,Mercedes-Benz E-Class E250 CDI,Mercedes-Benz,2014,13.0,37382,Diesel,3200000.0
187,Maruti Baleno Alpha,Maruti,2017,21.4,24773,Petrol,750000.0
193,Maruti Ertiga ZDI,Maruti,2016,25.47,33000,Diesel,850000.0
196,Hyundai i10 Magna,Hyundai,2015,20.36,43571,Petrol,355000.0
197,Honda Amaze S i-Dtech,Honda,2013,25.8,50000,Diesel,325000.0
200,Mahindra NuvoSport N6,Mahindra,2017,17.45,29000,Diesel,650000.0
201,Maruti Vitara Brezza ZDi,Maruti,2016,24.3,20000,Diesel,900000.0
208,Maruti Swift 1.3 VXi,Maruti,2010,16.1,42001,Petrol,211000.0
209,Mercedes-Benz B Class B180,Mercedes-Benz,2014,14.8,37245,Petrol,1196000.0
210,Honda Amaze S Diesel,Honda,2013,27.4,45000,Diesel,325000.0
212,Renault Duster 85PS Diesel,Renault,2014,20.46,30000,Diesel,595000.0
213,Hyundai Creta 1.6 VTVT,Hyundai,2015,15.29,27057,Petrol,815000.0
214,Maruti Wagon R AMT,Maruti,2016,20.51,8500,Petrol,422000.0
215,Mercedes-Benz New C-Class C250,Mercedes-Benz,2010,11.74,30500,Petrol,1050000.0
217,Hyundai i10 Magna 1.1,Hyundai,2012,19.81,44000,Petrol,290000.0
218,Skoda Rapid 1.6 MPI,Skoda,2017,14.3,10500,Petrol,890000.0
219,Skoda Superb Style 1.8,Skoda,2017,14.67,26000,Petrol,2600000.0
220,Hyundai i20 Active 1.2,Hyundai,2018,17.19,25166,Petrol,822000.0000000001
224,Mercedes-Benz New C-Class C,Mercedes-Benz,2018,19.27,29161,Diesel,3940999.9999999995
225,Maruti Wagon R VXI,Maruti,2013,22.5,32000,Petrol,265000.0
226,Nissan Terrano XV Premium,Nissan,2015,19.01,46173,Diesel,892000.0
227,Maruti Swift VDI BSIV,Maruti,2013,17.8,47000,Diesel,409999.99999999994
228,Mini Cooper Convertible S,Mini,2017,16.82,26327,Petrol,3567000.0
232,Volkswagen Polo Diesel Comfortline,Volkswagen,2012,22.07,45000,Diesel,360000.0
234,Ford Figo Diesel EXI,Ford,2012,20.0,41284,Diesel,250000.0
235,Toyota Innova Crysta 2.8,Toyota,2019,11.36,14165,Diesel,1964000.0
237,Honda City i-VTEC V,Honda,2011,17.4,32572,Petrol,387000.0
238,Hyundai i20 1.2 Magna,Hyundai,2018,18.6,14960,Petrol,627000.0
246,Honda City i VTEC,Honda,2016,17.8,33915,Petrol,809000.0
248,Hyundai Grand i10 CRDi,Hyundai,2017,24.0,33000,Diesel,475000.0
249,Maruti Ciaz 1.3 Alpha,Maruti,2016,28.09,34000,Diesel,844999.9999999999
253,Honda Jazz 1.2 VX,Honda,2017,18.7,49575,Petrol,717000.0
256,Toyota Innova Crysta 2.4,Toyota,2017,13.68,43000,Diesel,1864999.9999999998
257,Maruti Omni MPI CARGO,Maruti,2011,19.7,35000,Petrol,185000.0
258,Maruti Swift VXI BSIV,Maruti,2017,20.4,27872,Petrol,595000.0
259,Hyundai Grand i10 Magna,Hyundai,2014,18.9,16514,Petrol,375000.0
267,Hyundai Creta 1.6 CRDi,Hyundai,2016,19.67,28000,Diesel,1375000.0
269,Renault Duster 110PS Diesel,Renault,2016,19.64,26000,Diesel,1000000.0
272,Hyundai i10 Sportz,Hyundai,2010,20.36,36000,Petrol,325000.0
273,Toyota Innova 2.5 G4,Toyota,2016,12.8,47000,Diesel,1280000.0
275,Maruti Swift VDI,Maruti,2018,28.4,31025,Diesel,715000.0
278,Ford EcoSport 1.0 Ecoboost,Ford,2017,18.88,22695,Petrol,850000.0
280,Maruti Alto 800 LXI,Maruti,2016,22.74,32227,Petrol,326000.0
283,Skoda Laura 1.9 TDI,Skoda,2009,17.0,48000,Diesel,295000.0
286,Hyundai i20 Magna Optional,Hyundai,2013,21.9,46000,Diesel,311000.0
287,Hyundai i20 Sportz AT,Hyundai,2014,15.0,45051,Petrol,596000.0
289,Honda City i VTEC,Honda,2014,17.4,49000,Petrol,690000.0
290,Tata Zest Quadrajet 1.3,Tata,2018,22.95,45000,Diesel,525000.0
297,Hyundai i10 Magna 1.2,Hyundai,2012,20.36,45275,Petrol,280000.0
298,Toyota Innova Crysta 2.4,Toyota,2016,13.68,48000,Diesel,2025000.0
299,Audi A6 2011-2015 2.0,Audi,2015,17.68,31652,Diesel,2678000.0
301,Volkswagen Polo Petrol Trendline,Volkswagen,2015,16.47,31978,Petrol,389000.0
303,Honda City i-VTEC CVT,Honda,2017,18.0,15000,Petrol,1269000.0
306,Mercedes-Benz GLA Class 200,Mercedes-Benz,2015,17.9,48000,Diesel,2026000.0000000002
311,Land Rover Range Rover,Land,2017,12.7,44000,Diesel,4400000.0
320,Maruti Ertiga Paseo VXI,Maruti,2018,16.02,18000,Petrol,825000.0
322,Maruti Swift Dzire VDi,Maruti,2012,19.3,48000,Diesel,370000.0
324,Honda City ZX GXi,Honda,2008,17.7,40000,Petrol,180000.0
326,BMW 6 Series 640d,BMW,2011,9.52,30000,Diesel,4900000.0
328,Maruti Zen Estilo LXI,Maruti,2008,26.3,42496,CNG,140000.0
330,Hyundai i10 Sportz AT,Hyundai,2009,16.95,37000,Petrol,295000.0
331,Honda Jazz 1.2 V,Honda,2016,19.0,28503,Petrol,686000.0
334,Volkswagen Polo Petrol Comfortline,Volkswagen,2011,16.47,32000,Petrol,254999.99999999997
335,Maruti Alto LXi,Maruti,2009,19.7,35000,Petrol,150000.0
339,Maruti Alto LXi,Maruti,2012,19.7,38000,Petrol,225000.0
342,Hyundai i20 Asta Option,Hyundai,2016,18.6,24973,Petrol,766000.0
343,Maruti Vitara Brezza LDi,Maruti,2016,24.3,45000,Diesel,715000.0
347,Hyundai EON D Lite,Hyundai,2016,21.1,27904,Petrol,355000.0
348,BMW 3 Series Luxury,BMW,2015,21.76,30717,Diesel,2599000.0
350,Tata Manza Club Class,Tata,2013,21.02,47304,Diesel,290000.0
352,Maruti Alto K10 VXI,Maruti,2017,24.07,30000,Petrol,375000.0
354,Chevrolet Spark 1.0 LS,Chevrolet,2011,18.0,21000,Petrol,95000.0
357,Skoda Superb L&K 1.8,Skoda,2019,14.67,13747,Petrol,2730000.0
360,Maruti Swift Dzire VXi,Maruti,2016,18.5,18000,Petrol,620000.0
365,Mini Clubman Cooper S,Mini,2017,13.8,8350,Petrol,3500000.0
366,Toyota Etios GD,Toyota,2014,23.59,45000,Diesel,325000.0
367,Maruti Alto 800 2016-2019,Maruti,2018,24.7,26200,Petrol,290000.0
368,Maruti Alto VXi,Maruti,2011,18.9,11000,Petrol,290000.0
371,Hyundai Grand i10 AT,Hyundai,2015,18.9,37081,Petrol,577000.0
372,Maruti Vitara Brezza ZDi,Maruti,2017,24.3,39000,Diesel,949000.0
374,Mercedes-Benz GLA Class 200,Mercedes-Benz,2015,17.9,38000,Diesel,2000000.0
377,Toyota Corolla Altis D-4D,Toyota,2017,21.43,5900,Diesel,1650000.0
378,Mercedes-Benz New C-Class 220,Mercedes-Benz,2014,15.8,25000,Diesel,2600000.0
380,Honda BRV i-VTEC V,Honda,2017,16.0,35676,Petrol,948000.0
383,Mercedes-Benz B Class B180,Mercedes-Benz,2014,14.8,41380,Petrol,1177000.0
384,Mercedes-Benz E-Class 2015-2017 E250,Mercedes-Benz,2017,15.0,33900,Diesel,3700000.0
385,Honda City i VTEC,Honda,2016,17.8,28000,Petrol,875000.0
389,Jaguar XE Portfolio,Jaguar,2017,13.5,9000,Petrol,3450000.0
391,Mini Cooper Convertible 1.6,Mini,2015,18.86,20000,Petrol,3200000.0
393,Hyundai EON Magna Plus,Hyundai,2014,21.1,37000,Petrol,325000.0
394,Maruti Wagon R VXI,Maruti,2014,20.51,17400,Petrol,310000.0
401,Mitsubishi Pajero Sport 4X2,Mitsubishi,2018,13.5,12000,Diesel,2800000.0
405,Hyundai Verna 1.6 SX,Hyundai,2011,17.01,49768,Petrol,495000.0
409,Audi Q3 35 TDI,Audi,2017,15.73,37542,Diesel,2571000.0
411,Mercedes-Benz New C-Class 220,Mercedes-Benz,2013,14.84,35299,Diesel,1900000.0
412,Mahindra Scorpio S10 4WD,Mahindra,2017,15.4,28464,Diesel,1305000.0
413,BMW 3 Series Luxury,BMW,2015,21.76,41000,Diesel,2550000.0
414,Honda BR-V i-VTEC S,Honda,2017,15.4,9000,Petrol,850000.0
416,Hyundai Accent GLE,Hyundai,2005,13.2,5834,Petrol,80000.0
417,Hyundai i20 Active SX,Hyundai,2017,17.19,40250,Petrol,690000.0
419,Hyundai EON Magna Plus,Hyundai,2015,21.1,20800,Petrol,225000.0
420,Hyundai Grand i10 SportZ,Hyundai,2018,18.9,40322,Petrol,550000.0
423,Audi A6 35 TFSI,Audi,2016,15.26,47000,Petrol,2450000.0
425,Hyundai Creta 1.6 SX,Hyundai,2017,15.29,23163,Petrol,1203000.0
426,Mercedes-Benz New C-Class C,Mercedes-Benz,2011,11.74,50000,Petrol,850000.0
427,Mini Cooper Convertible S,Mini,2014,16.82,11900,Petrol,2850000.0
429,Toyota Etios VD,Toyota,2013,23.59,37000,Diesel,575000.0
430,Honda Brio S MT,Honda,2014,19.4,30000,Petrol,320000.0
431,Maruti Baleno Alpha Automatic,Maruti,2018,21.4,12831,Petrol,989000.0
433,Hyundai EON Era Plus,Hyundai,2018,21.1,13102,Petrol,405999.99999999994
434,Renault Captur 1.5 Diesel,Renault,2019,20.37,24950,Diesel,1337000.0
436,Maruti Alto 800 LXI,Maruti,2016,22.74,34267,Petrol,374000.0
437,Volvo V40 D3,Volvo,2015,16.8,33000,Diesel,2200000.0
439,Honda City ZX GXi,Honda,2008,17.7,40000,Petrol,200000.0
440,Maruti Eeco 5 STR,Maruti,2017,15.1,31841,CNG,470000.0
441,Chevrolet Enjoy 1.4 LS,Chevrolet,2014,13.7,15000,Petrol,375000.0
444,Hyundai EON D Lite,Hyundai,2014,21.1,20600,Petrol,260000.0
445,Hyundai Creta 1.6 SX,Hyundai,2017,13.0,29952,Petrol,1377000.0
446,Volkswagen Vento 1.6 Comfortline,Volkswagen,2017,16.09,15000,Petrol,710000.0
450,Hyundai i20 1.2 Asta,Hyundai,2017,18.6,26185,Petrol,798000.0
451,Audi Q5 30 TDI,Audi,2014,14.16,38000,Diesel,3900000.0
456,Maruti S-Cross Delta DDiS,Maruti,2018,25.1,12923,Diesel,892000.0
458,BMW 3 Series Luxury,BMW,2016,21.76,19235,Diesel,3650000.0
460,Hyundai i20 2015-2017 Asta,Hyundai,2016,18.6,6800,Petrol,720000.0
463,Ford Ecosport 1.5 DV5,Ford,2014,22.7,31465,Diesel,650000.0
465,Hyundai Grand i10 CRDi,Hyundai,2017,24.0,14000,Diesel,459999.99999999994
466,Tata Manza Aqua Quadrajet,Tata,2013,21.12,47000,Diesel,295000.0
467,Honda City 1.5 V,Honda,2011,17.0,48466,Petrol,326000.0
468,Hyundai Santro Xing GLS,Hyundai,2008,17.92,46000,Petrol,222000.00000000003
470,Maruti Ciaz 1.3 S,Maruti,2017,28.09,25142,Diesel,826000.0
474,Mercedes-Benz New C-Class 220,Mercedes-Benz,2014,15.8,45000,Diesel,2300000.0
476,Hyundai Grand i10 Sportz,Hyundai,2015,18.9,27000,Petrol,450000.0
477,Ford Figo 2015-2019 1.2P,Ford,2018,18.16,3678,Petrol,680000.0
478,Skoda Octavia Ambition 1.4,Skoda,2013,16.8,21000,Petrol,875000.0
480,Land Rover Range Rover,Land,2015,15.68,24000,Diesel,3350000.0
483,Toyota Fortuner 4x4 MT,Toyota,2017,12.55,47198,Diesel,2842000.0
487,Hyundai Verna 1.6 SX,Hyundai,2013,22.32,37873,Diesel,480000.0
488,BMW 5 Series 2003-2012,BMW,2011,10.8,31000,Petrol,1350000.0
491,Hyundai Creta 1.6 CRDi,Hyundai,2016,17.01,32000,Diesel,1550000.0
493,Mercedes-Benz A Class A200,Mercedes-Benz,2016,20.0,35437,Diesel,1857999.9999999998
497,Maruti Zen LXi BSII,Maruti,2004,17.3,29000,Petrol,160000.0
499,Honda Brio VX AT,Honda,2014,16.5,35000,Petrol,425000.0
502,Chevrolet Beat LS,Chevrolet,2012,18.6,32717,Petrol,254999.99999999997
503,Toyota Fortuner 4x4 AT,Toyota,2017,12.55,25000,Diesel,3200000.0
507,Honda Mobilio S i,Honda,2015,17.3,25000,Petrol,425000.0
508,Hyundai Grand i10 Sportz,Hyundai,2017,18.9,8500,Petrol,480000.0
509,Mahindra XUV500 AT W8,Mahindra,2015,16.0,34000,Diesel,1300000.0
510,Skoda Fabia 1.6 MPI,Skoda,2012,14.83,41629,Petrol,225000.0
512,Hyundai Creta 1.6 SX,Hyundai,2019,15.29,8587,Petrol,1356000.0
513,Mahindra Scorpio 1.99 S8,Mahindra,2017,15.4,30000,Diesel,1225000.0
517,Toyota Etios G,Toyota,2013,17.6,27075,Petrol,495000.0
518,Maruti Wagon R LXI,Maruti,2012,22.5,30000,Petrol,330000.0
521,Land Rover Range Rover,Land,2017,12.7,49275,Diesel,4564000.0
522,Chevrolet Beat LT,Chevrolet,2014,18.6,8700,Petrol,254999.99999999997
523,Tata Nano Twist XT,Tata,2014,25.4,18000,Petrol,100000.0
524,Audi A6 2011-2015 35,Audi,2017,17.68,41041,Diesel,3756000.0
526,Maruti Swift VXI,Maruti,2019,22.0,20667,Petrol,637000.0
528,Maruti Swift VXI Optional,Maruti,2017,20.4,31696,Petrol,575000.0
530,Maruti Ertiga ZXI,Maruti,2014,16.02,13361,Petrol,680000.0
531,BMW 3 Series 320i,BMW,2010,12.05,48394,Petrol,1049000.0
532,Maruti Ertiga VXI,Maruti,2014,16.02,47399,Petrol,560000.0
539,Honda City i VTEC,Honda,2015,18.0,41950,Petrol,960000.0
541,Honda Amaze VX O,Honda,2016,18.0,9000,Petrol,575000.0
542,Hyundai i20 Asta 1.4,Hyundai,2014,22.54,43900,Diesel,675000.0
549,BMW X1 sDrive 20d,BMW,2017,20.68,31645,Diesel,2940000.0
551,Maruti Ciaz RS ZDi,Maruti,2016,28.09,41000,Diesel,950000.0
557,Audi TT 2.0 TFSI,Audi,2013,9.9,12100,Petrol,2950000.0
558,Skoda Rapid 1.5 TDI,Skoda,2017,21.13,31000,Diesel,1050000.0
559,Volkswagen Polo 1.5 TDI,Volkswagen,2015,20.14,50000,Diesel,620000.0
560,Skoda Laura 1.9 TDI,Skoda,2009,17.0,48000,Diesel,500000.0
561,Mahindra Renault Logan 1.5,Mahindra,2007,19.2,35000,Diesel,229999.99999999997
563,BMW 3 Series 320d,BMW,2014,18.88,47000,Diesel,2550000.0
566,Jaguar XF 2.2 Litre,Jaguar,2015,16.36,37340,Diesel,2998000.0
567,Maruti Swift Dzire VDI,Maruti,2016,26.59,38461,Diesel,739000.0
568,Jeep Compass 2.0 Limited,Jeep,2018,17.1,29000,Diesel,1900000.0
569,Toyota Corolla Altis 1.8,Toyota,2010,12.5,31000,Petrol,500000.0
570,Honda City 1.5 V,Honda,2011,17.0,42086,Petrol,335000.0
571,Maruti Swift ZXI,Maruti,2013,18.6,49000,Petrol,445000.0
574,Maruti Swift VDI,Maruti,2014,22.9,35000,Diesel,525000.0
578,Volkswagen Polo 1.5 TDI,Volkswagen,2018,20.14,33558,Diesel,811999.9999999999
580,Honda City i DTEC,Honda,2017,25.1,45366,Diesel,1088000.0
581,Chevrolet Sail Hatchback 1.2,Chevrolet,2014,18.2,9500,Petrol,350000.0
582,Hyundai i20 1.2 Spotz,Hyundai,2016,18.6,42362,Petrol,615000.0
583,BMW X1 sDrive 20d,BMW,2016,17.05,21000,Diesel,3300000.0
584,BMW X1 sDrive 20d,BMW,2012,15.06,15200,Diesel,1350000.0
585,Toyota Fortuner 4x2 AT,Toyota,2015,12.55,43690,Diesel,1711000.0
589,Mercedes-Benz S Class 2005,Mercedes-Benz,2006,10.13,47088,Petrol,1900000.0
593,BMW X5 2014-2019 xDrive,BMW,2014,15.97,19000,Diesel,4400000.0
598,Jaguar XF 2.2 Litre,Jaguar,2016,16.36,10000,Diesel,4400000.0
599,Toyota Innova Crysta 2.8,Toyota,2019,11.36,40674,Diesel,2482000.0
600,Skoda Octavia Ambition 2.0,Skoda,2015,19.3,50000,Diesel,1169000.0
601,Toyota Corolla Altis VL,Toyota,2018,14.28,1331,Petrol,2000000.0
603,Mercedes-Benz GLC 220d 4MATIC,Mercedes-Benz,2018,17.9,10003,Diesel,4850000.0
604,Volkswagen Vento 1.5 TDI,Volkswagen,2016,21.5,25000,Diesel,944999.9999999999
608,BMW 5 Series 2013-2017,BMW,2016,14.69,20967,Diesel,4456000.0
609,Mahindra Scorpio S4 Plus,Mahindra,2015,15.4,35000,Diesel,850000.0
610,Hyundai Verna 1.6 CRDi,Hyundai,2017,23.9,38056,Diesel,1070000.0
614,Hyundai Xcent 1.2 Kappa,Hyundai,2014,19.1,7400,Petrol,434999.99999999994
618,Maruti Vitara Brezza ZDi,Maruti,2016,24.3,21558,Diesel,890000.0
619,BMW 3 Series 320d,BMW,2013,18.88,37500,Diesel,1675000.0
620,Hyundai EON Sportz,Hyundai,2016,21.1,14077,Petrol,395000.0
630,Maruti Esteem Vxi -,Maruti,2007,15.9,30441,Petrol,145000.0
632,Mini Cooper 5 DOOR,Mini,2016,20.7,11000,Diesel,2950000.0
634,Hyundai i20 Sportz Option,Hyundai,2013,17.0,48454,Petrol,350000.0
635,Tata Safari Storme VX,Tata,2017,14.1,37000,Diesel,1125000.0
636,Honda BR-V i-DTEC VX,Honda,2017,21.9,32249,Diesel,1079000.0
638,Hyundai Xcent 1.2 Kappa,Hyundai,2017,19.1,28360,Petrol,512000.0
639,Maruti Ignis 1.2 Alpha,Maruti,2017,20.89,7000,Petrol,570000.0
640,BMW 5 Series 2013-2017,BMW,2016,18.12,19658,Diesel,3584000.0000000005
642,Hyundai i10 Sportz,Hyundai,2013,20.36,25000,Petrol,265000.0
643,Hyundai Verna 1.6 CRDI,Hyundai,2016,22.32,37882,Diesel,919000.0
646,Chevrolet Beat Option Pack,Chevrolet,2010,18.6,35000,Petrol,150000.0
650,Maruti Ciaz ZDi Plus,Maruti,2017,28.09,36381,Diesel,975000.0
651,Mercedes-Benz New C-Class C,Mercedes-Benz,2017,19.71,25559,Diesel,3793000.0
656,Hyundai i20 1.4 Magna,Hyundai,2009,21.9,47000,Diesel,280000.0
657,Honda BRV i-VTEC V,Honda,2017,16.0,18000,Petrol,925000.0
659,Audi A6 2011-2015 2.0,Audi,2014,17.68,49964,Diesel,2389000.0
660,Toyota Innova 2.5 ZX,Toyota,2014,12.99,35000,Diesel,1275000.0
662,Volkswagen Vento IPL II,Volkswagen,2013,14.8,36000,Petrol,465000.00000000006
667,Hyundai i20 Asta Option,Hyundai,2016,18.6,21000,Petrol,630000.0
668,Maruti Vitara Brezza ZDi,Maruti,2017,24.3,18108,Diesel,1131000.0
670,Maruti Ciaz ZXi,Maruti,2014,20.73,49500,Petrol,600000.0
671,Nissan Sunny XV CVT,Nissan,2013,17.5,37199,Petrol,543000.0
675,Mercedes-Benz New C-Class C,Mercedes-Benz,2007,14.84,39037,Diesel,925000.0
676,Honda Brio S MT,Honda,2013,19.4,17003,Petrol,315000.0
679,Maruti Ciaz VDI SHVS,Maruti,2017,28.09,41217,Diesel,740000.0
682,Honda Jazz 1.2 V,Honda,2016,18.7,17377,Petrol,590000.0
683,Honda Amaze EX i-Dtech,Honda,2013,25.8,33800,Diesel,470000.0
688,Maruti Vitara Brezza LDi,Maruti,2017,24.3,38000,Diesel,799000.0
690,Maruti Alto K10 VXI,Maruti,2017,24.07,25058,Petrol,395000.0
691,Hyundai EON Era Plus,Hyundai,2016,21.1,36700,Petrol,438000.0
692,Hyundai i10 Sportz,Hyundai,2011,20.36,35000,Petrol,275000.0
694,Audi A6 2.0 TDI,Audi,2014,18.53,48000,Diesel,2900000.0
696,Volkswagen Passat Highline DSG,Volkswagen,2012,14.3,39273,Diesel,699000.0
704,Audi Q5 2008-2012 2.0,Audi,2013,12.8,13452,Diesel,2546000.0
705,Hyundai Verna 1.6 VTVT,Hyundai,2017,17.01,37688,Petrol,788000.0
706,Mercedes-Benz E-Class 2015-2017 E250,Mercedes-Benz,2017,13.0,34000,Diesel,3600000.0
713,Hyundai Xcent 1.2 Kappa,Hyundai,2015,19.1,41721,Petrol,470000.0
714,Maruti Dzire AMT ZXI,Maruti,2017,22.0,13000,Petrol,850000.0
715,BMW 3 Series 320d,BMW,2013,16.07,38998,Diesel,1700000.0
717,Audi A4 2.0 TDI,Audi,2013,17.11,45979,Diesel,1950000.0
718,Mini Cooper S,Mini,2012,13.6,37000,Petrol,1700000.0
719,Audi Q7 3.0 TDI,Audi,2015,12.07,46983,Diesel,4335000.0
720,Chevrolet Beat Diesel LT,Chevrolet,2012,25.44,40700,Diesel,265000.0
721,Maruti Wagon R LXI,Maruti,2015,20.51,43828,Petrol,352000.0
724,Maruti Swift Dzire VXI,Maruti,2015,20.85,19000,Petrol,525000.0
726,Ford EcoSport 1.5 Ti,Ford,2018,15.63,37630,Petrol,910000.0
728,Maruti S Cross DDiS,Maruti,2017,15.0,32000,Diesel,850000.0
731,Hyundai Grand i10 1.2,Hyundai,2017,24.0,14000,Diesel,490000.00000000006
